Struktur;Extradeck;Typ;Name;Untertyp;Zweihändig;Bedingung;Stats;CenterText;Text;Flavor_text;Stufe;Rasse;Win;Lose;Scrapped;Druck1;Druck2;Druck3;Druck4
normal;;Action;Götterdämmerung;;;;;;"Falls die folgenen Karten im Ablagestapel liegen:
Heiliger Würfel Primus, Heiliger Würfel Tertium, Heiliger Würfel Quintus: Mische diese Karten, 20 Karten tief in den Zauberkartenstapel.
Fundort des Heiligen Würfels Quartus: Mische diese Karte in die obersten 20 Karten des Aktionskartenstapel.
Fundort des Heiligen Würfels Tandem: Mische diese Karte in den Katastrophenstapel.
Der Lord der Stößt: Mische diese Karte in den Monster Tier 3 Stapel.
Die Lady die zieht: Mische diese Karte in den Monster Tier 2 Stapel.
Diese Karte: Schiebe sie verdeckt ungefährt in die Mitte des Aktionskartenstapels.";;;;;;;0;1;1;0
normal;;Action;Großbrand;;;;;;Alle Spieler müssen 4 Handkarten abwerfen.;;;;;;;0;1;1;0
normal;;Action;Hochwasser;;;;;;"Alle Spieler dürfen am Ende ihres nächsten Zuges nur maximal 2 Karten auf der Hand halten.
Den Rest müssen sie abwerfen.";;;;;;;0;1;1;0
normal;;Action;Höhentrainingslager;;;;;;"Du kannst die nächsten 2 Runden aussetzen, um durch das Training deine Kondition zu verbessern, wodurch du dauerhaft 0/+2 erhälst. Ziehe dafür ""Höhentraining"" (Extra Deck).";;;;;;;0;1;1;0
normal;;Action;Im Auge eines Gottes;;;;;;"Alle Spieler würfeln mit einem D20.

Für den, der das höchste Ergebnis erzielt, zählt dieses für seine nächste Runde als Würfelergebnis.
Dieses gilt sowohl für jeglichen Kampf, als auch für seine Bewegung.

Du würfelst mit zwei D20, der höhere zählt.";;;;;;;0;1;1;0
normal;;Action;Kaer Morthen;;;;;;"Du kannst 1 Ausrüstungskarte von deiner Hand abwerfen, um dich zum ""Hexer"" (Extra Deck) ausbilden zu lassen.";;;;;;;0;1;1;0
normal;;Action;Magie Bannkreis;;;;;;Extra Deck Karten, die Spieler auf der Hand halten, werden zurück ins Extra Deck gelegt.;;;;;;;0;1;1;0
normal;;Action;Massenschlägerei;;;;;;Jeder Spieler kämpft gegen Jeden. Dazu würfeln alle gleichzeitig ihre Kampfstärke aus. Der stärkste Spieler gewinnt und zieht von jedem eine Handkarte.;;;;;;;0;1;1;0
normal;;Action;Pissbaum;;;;;;"Du vergisst die Waffe, die dir den höchsten Kampfbonus gibt am Pissbaum.
Bei Gleichstand darfst du entscheiden.";;;;;;;0;1;1;0
normal;;Action;Pyjama-Party;;;;;;Du kannst deine Klasse zu einer beliebigen anderen wechseln.;;;;;;;0;1;1;0
normal;;Action;Schwarzmarkt;;;;;;"Alle Spieler können jetzt miteinader handeln.
Das Spiel geht erst weiter, wenn alle Verhandlungen abgeschlossen sind.";;;;;;;0;1;1;0
normal;;Action;Schwarzmarkt Händler;;;;;;"Du kannst jeweils 2 Handkarten abwerfen, um eine neue Zauberkarte nachzuiehen.
Lobbyisten erhalten das einmalige Angebot 4 Handkarten abzuwerfen um 3 Zauberkarten nachzuziehen.";;;;;;;0;1;1;0
normal;;Action;Strumwinde;;;;;;Alle Spieler haben in ihrer nächsten Runde 0/+4.;;;;;;;0;1;1;0
normal;;Action;Stunde der Wahrheit;;;;;;Öffne oder schließe eine Katastrophe.;;;;;;;0;1;1;0
normal;;Action;Umherziehende Fangemeinde;;;;;;"Du trifft auf eine umherziehede Fangemeide. Sie sagen dir, dass sie zum Grand Tournament unterwegs sind. Du führst ihnen ein paar deiner Kampfkünste vor, mit denen du sie beeindruckst. Sie versprechen dir dich im Tunier anzufeuern.

Erhalte ""Fangemeinde"".

Mische abschließend ""Ticketverkäufer"" in die obersten 20 Karten des Aktionskartenstapels.";;;;;;;0;1;1;0
normal;TRUE;Action;Ticketverkäufer;;;;;;"Du triffst auf einen freundlichen Ticketverkäufer. Er ist gerade dabei Tickets an eine vielzahl von Leuten zu verkaufen, die mitlerweile alle das Grand Tournament sehen wollen. Er ruft durch die Massen, dass du sein Favorit seist und er schon all sein Gold auf dich gesetzt habe. Die anwesenden Leute lassen sich von seinen motivierenden Worten mitreißen und versprechen dir dich im Tunier anzufeuern.

Erhalte ""Fangemeinde"".

Mische abschließend ""The Grand Tournament"" in die obersten 20 Karten des Aktionskartenstapels.";;;;;;;0;1;1;0
normal;TRUE;Action;The Grand Tournament;;;;;;"Das größte aller Tuniere wird in 5 Tagen beginnen und ihr alle werdet in der Arena stehen.
Nutzt die Zeit weise um euch vorzubereiten.
Lege 5 Zählmarken auf diese Karte und entferne am Anfang jeder neuen Runde, nachdem diese Karte aufgedeckt wurde, 1 Zählmarke von dieser Karte.
Wenn keine Zählmarken mehr auf dieser Karte liegen startet der Kampf:
Alle Spielfieguren werden auf die Arena gelegt.
Alle Spieler kämpfen gleichzeitig nach den Regeln des Mehrfachkampfes gegeneinander.
In jeder Runde verlässt der schwächste Spieler von allen die Arena.
Sollte es mehere schwächste Spieler geben, kämpfen diese sofort noch einmal gegenander bis einer verliert.
Diese Kämpfe werden so lange wiederholt bis es einen Sieger gibt.
Der Sieger des Grand Tournaments erhält ""König der Arena"" (Extra Deck).";;;;;;;0;1;1;0
monster;TRUE;Action;Königliche Wachen;;;;;;"Sie greifen sofort den Spieler, der für den Tod von König Jim Beam verantwortlich gemacht wird, an.
Solltest du es schaffen vor ihnen zu fliehen, wird diese Karte erneut in die obersten 20 Karten des Aktionskartenstapels gemischt.
Solltest du den ""Ring der Medici"" besitzen, so lassen sie dich ziehen, nachdem du ihn vorzeigtest.";Du elender Wischt, verberennst einfach unseren geliebten König! Dir soll es an den Kragen gehen, endlich haben wir dich!!!;26;Soldier;Du bist sie los!;"Ziehe ""Armlos""";;0;1;1;0
normal;;Bar;Tavernenrunde;;;;;;"Diese Karte liegt während des gesamten Spiels offen aus.

Lege Zählmarken gleich der Spieler auf diese Karte.

Immer wenn eine Duellkarte gezogen wird, entferne nach dem Duell eine Zählmarke von dieser Karte.

Sollten keine Zählmarken auf dieser Karte liegen, ziehe eine Tavernenkarte und lege neue Zählmarken auf diese Karte.";;;;;;;0;1;1;0
normal;;Blessing;Ass im Ärmel;Blessing;;;;Ziehe sofort eine Zauberkarte;;;;;;;;0;1;1;0
normal;;Blessing;Ausharren;Blessing;;;+2 / +2;Im nächsten Zug, wenn du diesen Kampf verlierst;;;;;;;;0;1;1;0
normal;;Blessing;Den ersten Stein werfen;Blessing;;;+1 / 0;Hat stattdessen +3 / 0, wenn du eine Freie Hand hast.;;;;;;;;0;1;1;0
normal;;Blessing;Den falschen gesegnet;Blessing;;;0 / 0;;;;;;;;;0;1;1;0
normal;;Blessing;Ein Funken Hoffnung;Blessing;;;+1 / 0;Hat stattdessen +4 / 0, wenn du zum Anfang des Kampfes keine Handkarten auf deiner Hand hattest.;;;;;;;;0;1;1;0
normal;;Blessing;Glaube;Blessing;;;+1 / 0;"Du triffst auf einen freundlichen Ticketverkäufer. Er ist gerade dabei Tickets an eine vielzahl von Leuten zu verkaufen, die mitlerweile alle das Grand Tournament sehen wollen. Er ruft durch die Massen, dass du sein Favorit seist und er schon all sein Gold auf dich gesetzt habe. Die anwesenden Leute lassen sich von seinen motivierenden Worten mitreißen und versprechen dir dich im Tunier anzufeuern.

Erhalte ""Fangemeinde"".

Mische abschließend ""The Grand Tournament"" in die obersten 20 Karten des Aktionskartenstapels.";;;;;;;;0;1;1;0
normal;;Blessing;Glaubensprobe;Blessing;;;-3 / 0;"Wenn du diesen Kampf gewinnst erhälst du ""Auserwählt"" (Extra Deck)";;;;;;;;0;1;1;0
normal;;Blessing;Glück;Blessing;;;;Die Karte zählt für andere Karten als Kampfesglück.;;;;;;;;0;1;1;0
normal;;Blessing;Großer Segen;Blessing;;;+2 / 0;;;;;;;;;0;12;1;0
normal;;Blessing;Hochmütig;Blessing;;;+3 / 0;Wenn du diesen Kampf verlierst musst du alle deine Handkarten abwerfen.;;;;;;;;0;1;1;0
normal;;Blessing;Kleiner Segen;Blessing;;;+1 / 0;;;;;;;;;0;12;1;0
normal;;Blessing;Leichtfüßigkeit;Blessing;;;0 / +3;;;;;;;;;0;2;1;0
normal;;Blessing;Magische Aura;Blessing;;;+2 / 0;Wenn du in diesen Kampf 2 oder mehr Zauberkarten einsetzt.;;;;;;;;0;1;1;0
normal;;Blessing;Mitleid;Blessing;;;+1 / 0;"Hat stattdessen +4 / 0, wenn du ""Pest"" hast oder ""Armlos"" bist";;;;;;;;0;1;1;0
normal;;Blessing;Öl Regen;Blessing;;;+1 / 0;"Hat stattdessen +4 / 0, wenn du einen Gegenstand trägst der das Wort ""Flammen"", ""Flammt"", ""Feuer"" oder ""Fackel"" enthält";;;;;;;;0;1;1;0
normal;;Blessing;Opfergaben;Blessing;;;+2 / 0;Wenn du 2 Handkarten abwirfst;;;;;;;;0;1;1;
normal;;Blessing;Reichtum;Blessing;;;;Du erhälst 2 Zauberkarten, wenn du diesen Kampf gewinnst;;;;;;;;0;1;1;
normal;;Blessing;Schattenblitz;Blessing;;;+2 / 0;Wenn die Sonne bereits untergegangen ist.;;;;;;;;0;1;1;
normal;;Blessing;Treue;Blessing;;;+4 / 0;Wenn du Priester bist;;;;;;;;0;1;1;0
normal;;Blessing;Überrumpeln;Blessing;;;+2 / 0;Wenn dein Gegner von keinen anderen Spieler unterstützt wirst;;;;;;;;0;1;1;0
normal;;Blessing;Überwältigend;Blessing;;;+1 / 0;Ziehe ein weiteren Segen;;;;;;;;0;1;1;0
normal;;Blessing;Unterstüzungs Trupp;Blessing;;;+2 / 0;Gegen Monster;;;;;;;;0;1;1;0
normal;;Blessing;Zurückhaltung;Blessing;;;+2 / 0;Wenn du in diesen Kampf keine Zauberkarten benutzt;;;;;;;;0;1;1;0
normal;;Blessing;Übergroßer Segen;Blessing;;;+3 / 0;;;;;;;;;0;1;1;0
normal;;Class;Bodybuilder;Class;;;;;"Große Muskeln: +2/0 gegen Spieler

Nichts dahinter: -1/0 gegen Monster";;;;;;;0;2;1;0
normal;;Class;Bürokrat;Class;;;+1 / -1;;Deine Bewegung ist immer mindestens 1.;"Nichts schneidet tiefer, als eine scharf formulierte Abmahnung.
Nur alles braucht seine Zeit...";;;;;;0;2;1;0
normal;;Class;Lobbyist;Class;;;-1 / 0;gegen Spieler;"Intressen: Einmal pro Zug kannst du zwei Zauberkarten abwerfen, um eine Zauberkarte vom Stapel zu ziehen,
Oder zwei gleichwerte Ausrüstungskarten abwerfen, um eine Ausrüstungskarte der gleichen Wertigkeit vom Stapel zu ziehen.";;;;;;;0;2;1;0
normal;;Class;Priester;Class;;;;;Du gewinnst bei Gleichstand.;"Haut dich einer rechts, gib ihn links...Ähm, also ich meine, gib ihm deine linke Wange ne, immer geschmeidig bleiben.

Jebus, Luka Evangolium 12.12";;;;;;0;2;1;0
normal;;Class;Veganer;Class;;;;0 / +1;"Tierfreund:
Verliere sofort gegen Monster Typ Tier.";;;;;;;0;2;1;0
normal;;Companion;Bernd der Pillenschieber;Companion;;;+3 / +3;Kosten: 11;Heroin: Wenn du einen Kampf verlierst, hat Bernd nächste Runde stattdessen +6/+6.;;;;;;;0;1;1;1
normal;;Companion;Brünhild die Kellnerin;Companion;;;+6 / 0;Kosten: 12;Drink aufs Haus: Du ziehst einen Segen, wenn du in diesen Kampf einen oder mehrere Flüche ziehen musstest.;;;;;;;0;1;1;1
normal;;Companion;Hedwig die Reisende;Companion;;;;Kosten: 5;"Leistungsträger: Lege diese Karte unter einen Ausrüstungsgegenstand.
Dieser gibt keine negative bewegnung mehr. Du verlierst diesen Begleiter nicht wenn du die Ausrüstungskarte verlierst.
Du kannst Hedwig jede Runde bewegen. ";;;;;;;0;1;1;1
normal;;Companion;Jäger scheues Reh;Companion;;;+4 / 0;Kosten: 7;Wilderer: Hedwig hat stattdessen +7 / 0 wenn du gegen ein Tier kämpfst.;;;;;;;0;1;1;1
normal;;Companion;Johannes der Täufer;Companion;;;+1 / 0;Kosten: 3;"Anarchist: Mische ""Zeichen der Wut"", ""Zeichen der Angst"" und ""Zeichen des Sturms"" (Extra Deck) in den Katastrophen Stapel.";;;;;;;0;1;1;1
normal;;Companion;Kathleen die Kneipenschlägerin;Companion;;;;Kosten: 3;+2/0 In Duellen oder Mehrfachkämpfen;;;;;;;0;1;1;1
normal;;Companion;Marek der Auserwählte;Companion;;;Faith+1;Kosten: 3;;;;;;;;0;1;1;1
normal;;Companion;Olaf der Lastesel;Companion;;;+5 / +1;Kosten: 9;Horten: Du kannst 2 weitere Handkarten halten.;;;;;;;0;1;1;1
normal;;Companion;Paplo der Puppenspieler;Companion;;;+2 / 0;Kosten: 4;Puppenspiel: Einmal pro Runde kannst du, in einem Kampf an dem du nicht beteiligt bist, einer Seite +1/0 geben.;;;;;;;0;1;1;1
normal;;Companion;Petrus der Leichtgläubige;Companion;;;+3 / 0;Kosten: 6;Glaube: Solage du von Petrus begleitet wirst, kannst du Priestergegenstände tragen.;;;;;;;0;1;1;1
normal;;Companion;Ruth die Söldnerin;Companion;;;+4 / +4;Kosten: 10;;;;;;;;0;1;1;1
normal;;Companion;Timothy der Barkeeper;Companion;;;+5 / 0;Kosten: 8;Trinkgeld: Jedes mal, wenn eine Tavernenrunde beginnt, ziehst du 4 Zauberkarten.;Außerdem bist du verpflichtet an diesen Spieleabend die Drinks auszuschenken.;;;;;;0;1;1;1
normal;TRUE;Companion;2.5 Promille Gaul;Companion;;;0 / +2;;;Du wärest sogar noch schneller, wenn du nicht in Schlangenlinien reiten würdest.;;;;;;0;1;1;0
normal;;Companion;Arena Ticket;Artifact;;;;Kosten: 6;"Du kannst die Arena passieren.
Du kannst nur ein Ticket haben. Es kann dir nicht gestohlen werden.";;;;;;;0;6;1;0
normal;;Curse;Armbruch;Curse;;;-1 / 0;Wenn du den Kampf verlierst bricht dir das Monster zusätzlich deinen Arm. Ziehe “Gebrochender Arm” (Extra Deck);;;;;;;;0;1;1;0
normal;;Curse;Hunger;Curse;;;-1 / 0;Ziehe “Ausgehungert” (Extra Deck);;;;;;;;0;1;1;0
normal;;Curse;Armut;Curse;;;-1 / 0;Werfe alle Zauberkarten ab, wenn du diesen Kampf verlierst;;;;;;;;0;1;1;0
normal;;Curse;Beste Freunde;Curse;;;-4 / 0;Wenn dein Gegner von einem anderen Spieler unterstützt wird;;;;;;;;0;1;1;0
normal;;Curse;Brut;Curse;;;-4 / 0;Gegen Monster;;;;;;;;0;1;1;0
normal;;Curse;Den falschen verflucht;Curse;;;0 / 0;;;;;;;;;0;1;1;0
normal;;Curse;Festgefroren;Curse;;;-3 / -3;Im nächsten Zug, wenn du diesen Kampf verlierst;;;;;;;;0;1;1;0
normal;;Curse;Feuertaufe;Curse;;;-5 / 0;"Wenn du diesen Kampf gewinnst erhälst du ""Auserwählt"" (Extra Deck)";;;;;;;;0;1;1;0
normal;;Curse;Finsternis;Curse;;;-4 / 0;"Wenn du keinen Gegenstand trägst, der das Wort ""Flammen"", ""Flammt"", ""Feuer"" oder ""Fackel"" enthält.";;;;;;;;0;1;1;0
normal;;Curse;Gläubig;Curse;;;;"Ziehe ""Ehrfürchtig"", wenn du diesen Kampf verlierst";;;;;;;;0;1;1;0
normal;;Curse;Großer Fluch;Curse;;;-4 / 0;;;;;;;;;0;10;1;0
normal;;Curse;Mittlerer Fluch;Curse;;;-3 / 0;;;;;;;;;0;10;1;0
normal;;Curse;Kleiner Fluch;Curse;;;-2 / 0;;;;;;;;;0;10;1;0
normal;;Curse;Magie Verbot;Curse;;;-4 / 0;Wenn du in diesem Kampf 2 oder mehr Zauberkarten einsetzt.;;;;;;;;0;1;1;0
normal;;Curse;Opfer;Curse;;;-3 / 0;Wenn du keine 3 Handkarten abwirfst;;;;;;;;0;1;1;0
normal;;Curse;Pestratte;Curse;;;;"Du wirst von einer Ratte gebissen
Erhalte nach dem Kampf ""Pest""";;;;;;;;0;1;1;0
normal;;Curse;Stadtwachen;Curse;;;-2 / 0;Hat stattdessen -5 / 0, wenn du Vampir oder Soldat bist;;;;;;;;0;1;1;0
normal;;Curse;Steinschlag;Curse;;;;"Ein ""Lebender Stein"" (Extra Deck) tritt deinem Kampf bei.";;;;;;;;0;2;1;0
normal;;Curse;Treibsand;Curse;;;0 / -6;;;;;;;;;0;2;1;0
normal;;Curse;Teufelstränen;Curse;;;-4 / 0;"Hat stattdessen +2 / 0 wenn du ""Pest"" hast oder ""Armlos"" bist.";;;;;;;;0;1;1;0
normal;;Curse;Teufelsneid;Curse;;;;Wenn du diesen Kampf gewinnst, hast du im nächten Zug -4/-4.;;;;;;;;0;1;1;0
normal;;Curse;Vergifteter Sieg;Curse;;;;Wenn du diesen Kampf gewinnst, musst du alle deine Handkarten abwerfen.;;;;;;;;0;1;1;0
normal;;Curse;Missgeschick;Curse;;;;Werfe sofort 2 Handkarten ab;;;;;;;;0;1;1;0
normal;;Curse;Verflucht;Curse;;;-2 / 0; -2 / 0 Für jeden weiteren Fluch in diesem Kampf.;;;;;;;;0;1;1;0
normal;;Curse;Verlaufen;Curse;;;-2 / 0;Hat stattdessen -4/0, wenn die Sonne bereits untergegangen ist.;;;;;;;;0;1;1;0
normal;;Curse;Verstauchter Arm;Curse;;;;Du kannst in diesem Kampf deinen rechten Arm nicht benutzen.;;;;;;;;0;1;1;0
normal;;Curse;Vom Regen in die Traufe;Curse;;;-1 / 0;Ziehe ein weiteren Fluch;;;;;;;;0;1;1;0
normal;;Curse;Von Gott verlassen;Curse;;;-4 / 0;Wenn du kein Priester bist;;;;;;;;0;1;1;0
normal;;Curse;Überraschungsangriff;Curse;;;;Du kannst in diesem Kampf keine Handkarten benutzen.;;;;;;;;0;1;1;0
normal;;Disaster;Einseitiger Seelenbund;;;;;;"Die Spieler in der Ersten und Letzten Position stehen in übernatürlicher Verbindung zueinander.

Verliert der letzte Spieler einen Kampf, so muss der Erste eine Handkarte abwerfen.

Gewinnt der Erste Spieler einen Kampf, erhält der Letzte eine Zauberkarte.";Ein perfektes Dream-Team.;;;;;;0;1;1;0
normal;;Disaster;Florierender Karawanenhandel;;;;-1 für Monster;;"Beute:
Sollte ""Vermehrte Überfälle"" offen liegen, erhält jeder Spieler 1 zusätzliche Zauberkarte, wenn er ein Monster besiegt.";;;;;;;0;1;1;0
normal;;Disaster;Fundort des Heiligen Würfels Tandem;;;;;;"Anstatt eine Katastrophe zu öffnen, fügst du ""Heiliger Würfel Tandem Das Ende"" deiner Hand hinzu (Extra Deck).
Ganz egal wo er sich gerade befindet.";;;;;;;0;1;1;0
normal;;Disaster;Gegenwind;;;;0 / -2;;"Windstille:
Sollte ""Rückenwind"" offen liegen, läuft jeder Spieler sein komplettes Würfelergebnis aus, solange er alle Monsterkämpfe auf seinem Weg gewinnt.";;;;;;;0;1;1;0
normal;;Disaster;Gomorra;;;;Faith-1;;"Apokalypse:
Sollte ""Sodem"" offen liegen, so mische die vier apokalyptischen Reiter aus den Extra Deck oder dem Ablagstapel in die zugehörigen Stapel.";Und Gott sah die Schlechtheit der Menschen und Zorn überkam ihn!;;;;;;0;1;1;0
normal;;Disaster;Harzen;;;;Der letzte Spieler hat 0 / +4;;;;;;;;;0;1;1;0
normal;;Disaster;Monster Party;;;;;;Jedes Monster, dass einen Kampf gewinnt, wird zurück in den Nachziehstapel gemischt.;;;;;;;0;1;1;0
normal;;Disaster;Nacht;;;;"-4
Auf den Fluchtwurf";;"Spieler, die mit einem D4 würfeln oder einen Gegenstand tragen, der das Wort ""Flammen"", ""Flammt"", ""Feuer"" oder ""Fackel"" enthält, sind von dieser Karte nicht betroffen.

Gleich des tatsächlichen Sonnenstandes zählt die Sonne als bereits untergegangen.";;;;;;;0;1;1;0
normal;;Disaster;Nieder mit den Reichen!;;;;"Der führende Spieler hat
0 / -2";;;;;;;;;0;1;1;0
normal;;Disaster;Ragnarök;;;;;;"Öffne 2 Katastrophen und lege ""Ragnarök"" auf den Ablagestapel";;;;;;;0;1;1;0
normal;;Disaster;Rückenwind;;;;0 / +2;;"Windstille:
Sollte ""Gegenwind"" offen liegen, läuft jeder Spieler sein komplettes Würfelergebnis aus, solange er alle Monsterkämpfe auf seinem Weg gewinnt.";;;;;;;0;1;1;0
normal;;Disaster;Sodom;;;;Faith+1;;"Apokalypse:
Sollte ""Gomorra"" offen liegen, so mische die vier apokalyptischen Reiter aus den Extra Deck oder dem Ablagstapel in die zugehörigen Stapel.";Und Gott sah die Schlechtheit der Menschen und Zorn überkam ihn!;;;;;;0;1;1;0
normal;;Disaster;Taschenspielertrick;;;;;;"Solange Taschenspielertrick ausliegt, kann jeder Spieler ∞ Karten auf der Hand halten.
Schließt sich Taschenspielertrick wieder, so muss jeder Spieler für jede überzählige Handkarte zwei Karten abwerfen.";;;;;;;0;1;1;0
normal;;Disaster;Vermehrte Überfälle;;;;+1 für Monster;;"Beute:
Sollte ""Florierender Karawanenhandel"" offen liegen, erhält jeder Spieler 1 zusätzliche Zauberkarte, wenn er ein Monster besiegt.";;;;;;;0;1;1;0
normal;TRUE;Disaster;Der Anfang vom Ende;;;;;;"Katastrophenfelder öffnen keine Katastrophen mehr.
Immer wenn ein Spieler ein Katastrophenfeld betritt, hat der Tod 0/-3.
Immer wenn der Tod ein Katastrophenfeld betritt, setzt ein Spieler seiner Wahl eine Runde aus.";;;;;;;0;1;1;0
normal;TRUE;Disaster;Hunger;SpellDisaster;;;;;"Alle anderen Spieler haben 0/-3 bist zum Ende deiner nächsten Runde.
Am Ende deiner Runde zu spielen.
Der Effekt hält eine Runde lang an.";;;;;;;0;1;1;0
normal;TRUE;Disaster;Krieg;SpellDisaster;;;;;"Alle Monster haben +2 bis zum Ende deiner nächsten Runde.
Am Ende der Runde zu spielen.";;;;;;;0;1;1;0
normal;TRUE;Disaster;Pestilenz;SpellDisaster;;;;;"Alle anderen Spieler haben -2/0 gegen dich, bis zum Ende deiner nächsten Runde.
Am Ende der Runde zu Spielen.";;;;;;;0;1;1;0
normal;TRUE;Disaster;Tod;SpellDisaster;;;;;"Nur einmal spielbar!
Im Tod summieren sich alle Katastrophen. Alle anderen Spieler haben -2/-3 bis zum Ende deiner nächsten Runde.
Am Ende der Runde zu Spielen. Der Effekt hält eine Runde lang an.";;;;;;;0;1;1;0
normal;TRUE;Disaster;Zeichen der Wut;;;;+3 / 0;Für Johannes der Teufer;"Sollten ""Zeichen der Wut"", ""Zeichen der Angst"" und ""Zeichen des Strums"" auf den Ablagestapel liegen erhält der Spieler der ""Johannes der Teufer"" als Begleiter hat ""Unsterblich"".";;;;;;;0;1;1;0
normal;TRUE;Disaster;Zeichen der Angst;;;;;;"Alle Spieler ziehen in jeden Kampf 1 Fluch Karte.
Der Spieler der ""Johannes der Teufer"" als Begleiter hat ist davon nicht betroffen.

Sollten ""Zeichen der Wut"", ""Zeichen der Angst"" und ""Zeichen des Strums"" auf den Ablagestapel liegen erhält der Spieler der ""Johannes der Teufer"" als Begleiter hat ""Unsterblich"".";;;;;;;0;1;1;0
normal;TRUE;Disaster;Zeichen des Strums;;;;0 / +6;Für Johannes der Teufer;"Sollten ""Zeichen der Wut"", ""Zeichen der Angst"" und ""Zeichen des Strums"" auf den Ablagestapel liegen erhält der Spieler der ""Johannes der Teufer"" als Begleiter hat ""Unsterblich"".";;;;;;;0;1;1;0
normal;;Duell;Bier über den Zwerg ausgießen;Dwarf;;;+2 / 0;Kämpfe gegen den Zwerg;"Falls du selber der Zwerg sein solltest, kämpfst du mit den selbem Kampfbonus gegen einen anderen Spieler deiner Wahl.

Entferne eine Zählmarke von ""Tavernenrunde"".";"Du schüttest ""Ausversehen"" dein Bier über den Zwerg aus. Er ist darüber nicht sehr glücklich und verlangt dafür ein Duell aus Rache, das ihr natürlich wie zi­vi­li­sierte Raufbolde im Brettspiel austragt. Sich noch das Bier aus den Haaren wischend bekommt der Zwerg nicht mit wie du dir dreiter weise zwei Kampfstärke mehr gibst als du tatsächlich besitzt.";;;;;;0;1;1;0
normal;;Duell;Das Bier vom Zwerg verschütten;Dwarf;;;;"Dein Gegner zieht einen Fluch.
Kämpfe gegen den Zwerg.";"Falls du selber der Zwerg sein solltest, kämpfst du mit den selbem Kampfbonus gegen einen anderen Spieler deiner Wahl.

Entferne eine Zählmarke von ""Tavernenrunde"".";;;;;;;0;1;1;0
normal;;Duell;Vor Wut den Zwerg hauen;Dwarf;;;+1 / 0;Kämpfe gegen den Zwerg;"Falls du selber der Zwerg sein solltest, kämpfst du mit den selbem Kampfbonus gegen einen anderen Spieler deiner Wahl.

Entferne eine Zählmarke von ""Tavernenrunde"".";;;;;;;0;1;1;0
normal;;Duell;Bier über den Elf ausgießen;Elf;;;+2 / 0;Kämpfe gegen den Elf;"Falls du selber der Elf sein solltest, kämpfst du mit den selbem Kampfbonus gegen einen anderen Spieler deiner Wahl.

Entferne eine Zählmarke von ""Tavernenrunde"".";;;;;;;0;1;1;0
